student_id,full_name,age,gender,grade_level,school_id,math_score,science_score,french_score,arabic_score,philosophy_score,attendance_pct,study_hours_per_day,internet_access,parent_education,scholarship,enrollment_date,average_score,status
STU0340,Aisha Kettani,14.0,F,3ème Collège,SCH082,12.4,16.6,14.2,17.7,15.4,74.8,4.8,Oui,Primaire,Non,2023-09-21,15.26,Admis
STU0245,Sara Berrada,17.0,F,2ème Bac,SCH094,14.2,10.3,10.9,14.8,16.8,77.5,3.7,Oui,Aucun,Oui,2023-09-11,13.4,Admis
STU0883,Othmane Amrani,16.0,M,1ère Bac,SCH073,13.5,14.8,16.9,10.6,12.6,85.0,4.7,Non,Secondaire,Non,2023-09-18,13.68,Admis
STU0568,Loubna El Idrissi,15.0,F,Tronc Commun,SCH046,12.3,11.8,15.8,10.6,15.4,80.2,3.9,Oui,Primaire,Oui,2023-09-10,13.18,Admis
STU0924,Ilyas Tazi,16.0,M,Tronc Commun,SCH067,14.9,11.0,10.5,17.6,14.8,73.6,4.3,Non,Aucun,Oui,2023-09-09,13.76,Admis
STU0359,Chaimae Mansouri,16.0,F,Tronc Commun,SCH003,11.1,10.6,15.7,12.4,14.8,80.6,3.7,Oui,Primaire,Non,2023-09-02,12.92,Admis
STU0577,Hamza Senhaji,14.0,M,3ème Collège,SCH019,12.3,15.6,14.3,10.7,15.5,81.8,4.2,Oui,Supérieur,Non,2023-09-01,13.68,Admis
STU0028,Adil El Fassi,15.0,M,Tronc Commun,SCH036,10.5,7.2,8.0,8.7,7.8,59.8,3.7,Non,Primaire,Oui,2023-09-04,8.44,Ajourné
STU0995,Tariq Cherif,15.0,M,Tronc Commun,SCH080,12.9,12.7,10.7,14.8,14.6,90.9,6.0,Oui,Primaire,Oui,2023-09-19,13.14,Admis
STU0564,Sara Senhaji,15.0,F,Tronc Commun,SCH085,8.4,10.6,8.7,8.4,8.1,64.8,2.8,Non,Supérieur,Non,2023-09-18,8.84,Ajourné
STU0229,Zineb Amrani,14.0,F,3ème Collège,SCH076,13.6,15.8,13.7,15.0,13.4,73.3,4.4,Oui,Primaire,Oui,2023-09-01,14.3,Admis
STU0674,Ghita Senhaji,17.0,F,2ème Bac,SCH126,16.3,10.5,13.9,15.2,12.2,84.4,2.9,Oui,Aucun,Oui,2023-09-13,13.62,Admis
STU0983,Bilal Benali,16.0,M,Tronc Commun,SCH137,11.6,12.5,11.3,12.1,16.1,84.2,3.3,Non,Primaire,Oui,2023-09-02,12.72,Admis
STU0925,Ghita Benjelloun,16.0,F,1ère Bac,SCH047,14.1,14.3,17.6,10.1,11.8,75.3,4.1,Non,Supérieur,Oui,2023-09-10,13.58,Admis
STU0591,Samira Benhaddou,14.0,F,3ème Collège,SCH058,14.7,16.3,16.8,17.7,15.5,78.0,4.6,Non,Secondaire,Oui,2023-09-05,16.2,Admis
STU0840,Chaimae Tahiri,16.0,F,1ère Bac,SCH046,10.4,12.6,15.4,12.0,11.9,80.2,3.3,Non,Aucun,Non,2023-09-17,12.46,Admis
STU0036,Samira Senhaji,14.0,F,3ème Collège,SCH035,10.3,8.8,9.4,7.2,8.2,75.4,3.7,Non,Secondaire,Non,2023-09-20,8.78,Ajourné
STU0369,Adil Tazi,14.0,M,3ème Collège,SCH063,14.9,15.0,13.7,15.4,15.0,73.4,4.7,Oui,Aucun,Oui,2023-09-18,14.8,Admis
STU0134,Omar Tahiri,17.0,M,2ème Bac,SCH083,3.9,2.2,5.7,4.6,6.1,74.7,0.9,Non,Supérieur,Oui,2023-09-13,4.5,Recalé
STU0341,Mouad Kettani,16.0,M,1ère Bac,SCH070,11.4,17.1,13.3,15.7,16.0,64.4,4.1,Non,Primaire,Oui,2023-09-11,14.7,Admis
STU0196,Tariq Belkadi,14.0,M,3ème Collège,SCH037,10.5,14.9,15.2,14.9,11.7,72.9,5.1,Non,Supérieur,Non,2023-09-03,13.44,Admis
STU0456,Bilal El Idrissi,18.0,M,2ème Bac,SCH119,17.6,11.9,14.4,12.5,10.5,79.9,4.0,Non,Aucun,Oui,2023-09-11,13.38,Admis
STU0728,Fatima Kettani,16.0,F,1ère Bac,SCH102,17.7,10.2,10.5,12.2,11.0,74.6,3.3,Oui,Supérieur,Non,2023-09-02,12.32,Admis
STU0404,Hamza Zouiten,17.0,M,2ème Bac,SCH112,16.5,17.0,14.1,14.8,14.8,68.5,3.6,Non,Secondaire,Non,2023-09-10,15.44,Admis
STU0120,Mouad Zouiten,15.0,M,Tronc Commun,SCH125,12.4,10.2,16.5,16.9,16.8,73.9,4.5,Oui,Aucun,Non,2023-09-05,14.56,Admis
STU0980,Sara Benhaddou,17.0,F,1ère Bac,SCH099,10.8,17.0,13.7,17.6,10.4,86.3,3.9,Non,Primaire,Oui,2023-09-08,13.9,Admis
STU0435,Loubna Zouiten,16.0,F,Tronc Commun,SCH024,15.5,14.2,10.4,10.8,15.9,78.5,5.5,Non,Aucun,Oui,2023-09-19,13.36,Admis
STU0050,Karim Benhaddou,15.0,M,3ème Collège,SCH075,13.5,17.5,16.3,11.2,12.7,77.3,5.9,Oui,Secondaire,Non,2023-09-09,14.24,Admis
STU0923,Ilyas Tahiri,15.0,M,Tronc Commun,SCH033,7.4,9.5,7.3,7.2,8.5,62.5,1.1,Non,Primaire,Non,2023-09-16,7.98,Ajourné
STU0275,Zineb Senhaji,17.0,F,2ème Bac,SCH080,11.0,16.4,11.6,17.6,13.8,74.9,3.5,Non,Secondaire,Non,2023-09-13,14.08,Admis
STU0007,Bilal Tazi,16.0,M,1ère Bac,SCH035,6.8,5.5,6.9,2.9,4.8,75.6,0.9,Oui,Primaire,Non,2023-09-17,5.38,Recalé
STU0487,Khalid Zouiten,14.0,M,3ème Collège,SCH110,14.0,18.0,12.1,15.9,17.4,66.6,4.3,Non,Aucun,Oui,2023-09-15,15.48,Admis
STU0580,Samira El Ouali,17.0,F,1ère Bac,SCH026,10.3,12.8,11.3,17.1,12.7,69.5,4.1,Non,Aucun,Oui,2023-09-13,12.84,Admis
STU0330,Zineb Chraibi,14.0,F,3ème Collège,SCH094,17.3,16.1,12.6,11.6,13.7,67.3,4.2,Non,Aucun,Oui,2023-09-07,14.26,Admis
STU0081,Nour Mansouri,15.0,F,Tronc Commun,SCH043,10.4,9.6,9.5,9.8,8.6,70.9,2.9,Oui,Primaire,Oui,2023-09-10,9.58,Ajourné
STU0953,Sara Alaoui,15.0,F,3ème Collège,SCH052,12.1,13.2,16.1,14.7,10.1,74.0,4.9,Non,Secondaire,Oui,2023-09-09,13.24,Admis
STU0672,Mouad Benali,15.0,M,3ème Collège,SCH013,15.3,13.8,14.2,15.6,10.7,85.6,3.5,Oui,Aucun,Non,2023-09-19,13.92,Admis
STU0637,Tariq Cherif,17.0,M,2ème Bac,SCH058,12.5,15.0,11.6,15.4,12.1,81.6,4.9,Oui,Supérieur,Non,2023-09-06,13.32,Admis
STU0945,Mouad Lahlou,15.0,M,3ème Collège,SCH031,7.5,10.6,10.9,8.8,9.2,72.0,2.1,Non,Aucun,Non,2023-09-01,9.4,Ajourné
STU0409,Meryem Senhaji,16.0,F,Tronc Commun,SCH081,14.2,17.0,17.0,13.3,10.2,79.7,6.2,Oui,Supérieur,Oui,2023-09-06,14.34,Admis
STU0105,Houda Lahlou,17.0,F,2ème Bac,SCH064,8.6,9.5,7.8,7.9,7.6,69.8,3.5,Non,Secondaire,Non,2023-09-10,8.28,Ajourné
