student_id,full_name,age,gender,grade_level,school_id,math_score,science_score,french_score,arabic_score,philosophy_score,attendance_pct,study_hours_per_day,internet_access,parent_education,scholarship,enrollment_date,average_score,status,school_name,school_type,milieu,province,region,capacity,num_teachers,infrastructure_score,digital_equipment,year_founded,taux_reussite_national_pct,taux_pauvrete_pct,taux_alphabetisation_pct,couverture_internet_pct,depense_par_eleve_mad,taux_abandon_scolaire_pct,ratio_eleves_par_enseignant,nb_etablissements,risk_score,risk_level
STU0340,Aisha Kettani,14.0,F,3ème Collège,SCH082,12.4,16.6,14.2,17.7,15.4,74.8,4.8,Oui,Primaire,Non,2023-09-21,15.26,Admis,École Secondaire Averroès,Privé,Rural,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1063,50,5.2,Partiel,2004,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.26,Risque faible
STU0245,Sara Berrada,17.0,F,2ème Bac,SCH094,14.2,10.3,10.9,14.8,16.8,77.5,3.7,Oui,Aucun,Oui,2023-09-11,13.4,Admis,Institut Al Farabi,Privé,Urbain,Taroudant,Souss-Massa,857,29,7.2,Non,1984,62.4,20.5,71.2,87.8,5102,16.5,29.4,13,0.33,Risque faible
STU0883,Othmane Amrani,16.0,M,1ère Bac,SCH073,13.5,14.8,16.9,10.6,12.6,85.0,4.7,Non,Secondaire,Non,2023-09-18,13.68,Admis,École Secondaire Moulay Youssef,Public,Urbain,Tanger,Tanger-Tétouan-Al Hoceïma,993,39,5.6,Partiel,1987,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.27,Risque faible
STU0568,Loubna El Idrissi,15.0,F,Tronc Commun,SCH046,12.3,11.8,15.8,10.6,15.4,80.2,3.9,Oui,Primaire,Oui,2023-09-10,13.18,Admis,École Secondaire Al Wifaq,Privé,Rural,Ifrane,Fès-Meknès,371,32,5.3,Partiel,2000,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.32,Risque faible
STU0924,Ilyas Tazi,16.0,M,Tronc Commun,SCH067,14.9,11.0,10.5,17.6,14.8,73.6,4.3,Non,Aucun,Oui,2023-09-09,13.76,Admis,Lycée Al Massira,Public,Rural,Essaouira,Marrakech-Safi,738,23,8.6,Oui,1978,63.7,12.7,74.6,66.2,6314,17.2,23.0,14,0.31,Risque faible
STU0359,Chaimae Mansouri,16.0,F,Tronc Commun,SCH003,11.1,10.6,15.7,12.4,14.8,80.6,3.7,Oui,Primaire,Non,2023-09-02,12.92,Admis,Collège Ibn Battuta,Public,Rural,Casablanca,Casablanca-Settat,903,32,8.3,Oui,1985,60.5,7.5,84.7,45.1,5685,17.8,34.4,15,0.33,Risque faible
STU0577,Hamza Senhaji,14.0,M,3ème Collège,SCH019,12.3,15.6,14.3,10.7,15.5,81.8,4.2,Oui,Supérieur,Non,2023-09-01,13.68,Admis,Collège Al Amal,Privé,Rural,Salé,Rabat-Salé-Kénitra,852,59,4.3,Non,2000,72.8,6.6,83.6,51.2,7434,14.8,27.5,19,0.29,Risque faible
STU0028,Adil El Fassi,15.0,M,Tronc Commun,SCH036,10.5,7.2,8.0,8.7,7.8,59.8,3.7,Non,Primaire,Oui,2023-09-04,8.44,Ajourné,École Secondaire Al Amal,Privé,Urbain,Fès,Fès-Meknès,979,21,9.1,Oui,1991,60.4,8.2,56.7,79.9,8809,4.7,23.5,21,0.5,Risque modéré
STU0995,Tariq Cherif,15.0,M,Tronc Commun,SCH080,12.9,12.7,10.7,14.8,14.6,90.9,6.0,Oui,Primaire,Oui,2023-09-17,13.14,Admis,Lycée Hassan II,Public,Urbain,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1037,41,6.2,Oui,2005,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.23,Risque faible
STU0564,Sara Senhaji,15.0,F,Tronc Commun,SCH085,8.4,10.6,8.7,8.4,8.1,64.8,2.8,Non,Supérieur,Non,2023-09-18,8.84,Ajourné,Collège Mohammed V,Privé,Urbain,Larache,Tanger-Tétouan-Al Hoceïma,532,38,4.2,Oui,2009,72.4,24.8,72.2,66.5,4755,3.9,33.0,18,0.5,Risque modéré
